episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
0,-1785.3100000000002,200,0.9905,200,0.0,6.0,359.0,1,178
1,-1727.996,200,0.981,400,0.0,10.0,357.0,2,179
2,-1648.6199999999997,200,0.9715,600,8.813763788430999,2.0,323.0,1,172
3,-1834.1319999999992,200,0.962,800,8.139256595373153,11.0,380.0,1,181
4,-1427.5079999999998,200,0.9525,1000,8.210274776220322,18.0,317.0,3,166
5,-1326.5640000000005,200,0.9430000000000001,1200,7.943489880561828,0.0,253.0,0,173
6,-1740.9900000000002,200,0.9335,1400,7.838409687280655,0.0,337.0,0,172
7,-1679.6820000000005,200,0.924,1600,7.681631761789322,2.0,329.0,1,175
8,-1948.6779999999997,200,0.9145,1800,7.506203706264496,0.0,380.0,0,177
9,-1217.9839999999997,200,0.905,2000,7.918434784412384,25.0,287.0,4,176
10,-1228.3819999999994,200,0.8955,2200,7.737854945659637,19.0,278.0,6,177
11,-1371.0560000000003,200,0.886,2400,7.681495640277863,19.0,306.0,4,172
12,-1646.2699999999995,200,0.8765000000000001,2600,7.791607457399368,14.0,353.0,4,171
13,-1631.3699999999994,200,0.867,2800,7.71487933754921,4.0,324.0,1,173
14,-1341.4159999999995,200,0.8575,3000,7.552820179462433,31.0,326.0,5,178
15,-1588.4560000000006,200,0.848,3200,7.69458322763443,19.0,348.0,3,177
16,-1356.178,200,0.8385,3400,7.605723387002945,20.0,305.0,4,176
17,-866.656,200,0.829,3600,7.443486307859421,35.0,245.0,9,179
18,-1358.9560000000006,200,0.8195,3800,7.658185682296753,0.0,262.0,0,168
19,-1589.8680000000008,200,0.81,4000,7.501114449501038,0.0,307.0,0,173
20,-1724.4500000000005,200,0.8005,4200,7.6173667716979985,0.0,334.0,0,181
21,-1023.7759999999998,200,0.791,4400,7.569480562210083,45.0,298.0,9,178
22,-1592.3860000000002,200,0.7815,4600,7.579597623348236,2.0,312.0,1,174
23,-1617.8860000000002,200,0.772,4800,7.492064183950424,9.0,333.0,2,165
24,-1338.008000000001,200,0.7625,5000,7.395336273908615,3.0,263.0,1,173
25,-881.7780000000001,200,0.753,5200,7.16133691072464,20.0,210.0,4,170
26,-685.6179999999998,200,0.7435,5400,6.885574316978454,27.0,189.0,8,178
27,-1285.0839999999998,200,0.734,5600,7.208271073102951,0.0,246.0,0,184
28,-1443.306,200,0.7245,5800,6.9922589385509495,0.0,278.0,0,159
29,-1191.8139999999994,200,0.7150000000000001,6000,6.943268188238144,25.0,285.0,5,173
30,-1375.7040000000004,200,0.7055,6200,7.224908339977264,19.0,306.0,3,179
31,-1234.9359999999997,200,0.696,6400,6.876375334262848,32.0,308.0,6,178
32,-816.7739999999998,200,0.6865,6600,6.538990802764893,37.0,241.0,11,173
33,-1395.094,200,0.677,6800,6.949550096988678,25.0,323.0,5,174
34,-1169.3220000000003,200,0.6675,7000,6.768635110855103,22.0,274.0,6,177
35,-1272.321999999999,200,0.658,7200,6.766023334264755,21.0,292.0,5,176
36,-1120.636,200,0.6485000000000001,7400,6.675000895261764,6.0,226.0,2,171
37,-1573.1840000000004,200,0.639,7600,6.703858733177185,23.0,357.0,6,167
38,-1406.1600000000003,200,0.6295,7800,6.67042416214943,30.0,338.0,8,163
39,-1175.868,200,0.62,8000,6.424652988910675,17.0,263.0,5,183
40,-1506.1580000000006,200,0.6105,8200,6.719128234386444,14.0,322.0,3,182
41,-1528.753999999999,200,0.601,8400,6.637013036608696,22.0,344.0,7,179
42,-1357.4659999999997,200,0.5915,8600,6.791742660999298,13.0,289.0,11,175
43,-1763.5419999999997,200,0.5820000000000001,8800,6.588975588083267,7.0,356.0,1,149
44,-1725.9360000000001,200,0.5725,9000,6.429346623420716,13.0,362.0,4,174
45,-1374.8459999999998,200,0.563,9200,6.394084433317184,32.0,334.0,8,176
46,-933.3419999999999,200,0.5535000000000001,9400,6.857580178976059,47.0,282.0,12,174
47,-1256.1199999999992,200,0.544,9600,6.673185570240021,30.0,305.0,5,187
48,-1331.7019999999995,200,0.5345,9800,6.756988404989243,12.0,282.0,2,172
49,-1080.6460000000002,200,0.525,10000,6.751273872852326,26.0,263.0,7,164
50,-1356.8979999999992,200,0.5155000000000001,10200,6.681561406850815,17.0,298.0,3,168
51,-755.1280000000002,200,0.506,10400,6.705568464994431,36.0,221.0,7,161
52,-1448.6439999999993,200,0.49650000000000005,10600,6.827974898219108,32.0,353.0,8,163
53,-985.956,200,0.487,10800,6.489675369262695,40.0,278.0,11,161
54,-1370.4660000000006,200,0.47750000000000004,11000,6.692728954553604,38.0,348.0,8,172
55,-1107.752,200,0.46799999999999997,11200,6.926839461326599,19.0,253.0,4,174
56,-1350.5539999999996,200,0.4585,11400,6.7205537569522855,7.0,275.0,3,173
57,-1112.576,200,0.44900000000000007,11600,6.709018520116806,45.0,316.0,12,153
58,-1352.3360000000002,200,0.4395,11800,6.675858860015869,19.0,306.0,4,178
59,-1404.3279999999995,200,0.43000000000000005,12000,6.468303562402725,8.0,287.0,3,173
