episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
0,-178.531,200,0.9902,200,0.0,6.0,359.0,1,178
1,-172.7496,200,0.9804,400,0.0,10.0,357.0,2,174
2,-158.57120000000003,200,0.9706,600,0.7000721943850564,6.0,319.0,2,173
3,-178.8992,200,0.9608,800,0.6348224024474621,12.0,374.0,2,182
4,-164.93340000000015,200,0.951,1000,0.613043981641531,5.0,330.0,1,170
5,-132.6864,200,0.9412,1200,0.5718350648880005,0.0,253.0,0,176
6,-151.75740000000002,200,0.9314,1400,0.5680612351745367,14.0,323.0,3,176
7,-171.13779999999997,200,0.9216,1600,0.5554315249621868,0.0,331.0,0,175
8,-194.84779999999995,200,0.9117999999999999,1800,0.5479635772109032,0.0,380.0,0,175
9,-135.91240000000002,200,0.902,2000,0.5695360660552978,16.0,296.0,3,183
10,-135.5414,200,0.8922,2200,0.5653851699084044,14.0,291.0,3,175
11,-143.37660000000005,200,0.8824,2400,0.5561040554195642,15.0,310.0,4,175
12,-188.62700000000007,200,0.8726,2600,0.5791836316883564,0.0,367.0,0,170
13,-169.38819999999996,200,0.8628,2800,0.5634464846551418,0.0,328.0,0,175
14,-156.40839999999992,200,0.853,3000,0.534150619506836,16.0,338.0,4,177
15,-189.19559999999996,200,0.8432,3200,0.5490872764587402,0.0,367.0,0,182
16,-167.99439999999996,200,0.8334,3400,0.5474127542972564,0.0,325.0,0,175
17,-141.98460000000003,200,0.8236,3600,0.5286718966066837,1.0,275.0,1,182
18,-128.12760000000006,200,0.8138,3800,0.5393943259865046,5.0,257.0,1,167
19,-151.79760000000002,200,0.804,4000,0.5111785826832056,4.0,301.0,1,182
20,-161.0432,200,0.7942,4200,0.5300280926376582,7.0,327.0,2,180
21,-151.08700000000002,200,0.7844,4400,0.5280112547427416,18.0,333.0,3,179
22,-161.3581999999999,200,0.7746,4600,0.5336881393194198,0.0,312.0,0,175
23,-176.49600000000007,200,0.7648,4800,0.5208780957758427,0.0,342.0,0,179
24,-94.32999999999996,200,0.755,5000,0.5268069206178189,25.0,236.0,6,171
25,-85.3528,200,0.7452,5200,0.503288291245699,25.0,215.0,5,174
26,-85.84400000000002,200,0.7354,5400,0.47783930771052835,20.0,206.0,4,179
27,-128.4584,200,0.7256,5600,0.48899425357580184,0.0,246.0,0,179
28,-118.55740000000003,200,0.7158,5800,0.4830034462362528,16.0,262.0,2,174
29,-160.58619999999988,200,0.706,6000,0.48191504895687104,0.0,311.0,0,175
30,-167.82140000000007,200,0.6961999999999999,6200,0.47806004144251346,0.0,325.0,0,177
31,-149.60320000000002,200,0.6864,6400,0.47488634146749975,16.0,326.0,3,168
32,-78.30219999999994,200,0.6766,6600,0.44997917354106903,41.0,238.0,11,182
33,-184.7296000000001,200,0.6668000000000001,6800,0.4643419283628464,0.0,358.0,0,180
34,-125.22659999999999,200,0.657,7000,0.473661954253912,20.0,285.0,4,182
35,-125.06979999999994,200,0.6472,7200,0.4522346819192171,21.0,286.0,4,181
36,-80.9698,200,0.6374,7400,0.4704453080147505,25.0,207.0,4,177
37,-166.39540000000002,200,0.6275999999999999,7600,0.46214694388210775,20.0,367.0,6,172
38,-142.75920000000005,200,0.6178,7800,0.451964126303792,26.0,332.0,8,180
39,-127.08260000000001,200,0.608,8000,0.4367329201102257,8.0,260.0,4,176
40,-74.84519999999999,200,0.5982000000000001,8200,0.46102901853621003,58.0,269.0,14,183
41,-172.49640000000005,200,0.5884,8400,0.4616371013224125,8.0,352.0,3,166
42,-115.84340000000003,200,0.5786,8600,0.46859967648983003,39.0,311.0,8,177
43,-155.22920000000005,200,0.5688,8800,0.45538296110928056,20.0,342.0,4,189
44,-139.53300000000004,200,0.5589999999999999,9000,0.4564800059050322,32.0,338.0,7,174
45,-155.7096000000001,200,0.5491999999999999,9200,0.4620959650725126,26.0,358.0,4,177
46,-152.113,200,0.5394000000000001,9400,0.4750477745383978,16.0,328.0,2,165
47,-136.0346,200,0.5296000000000001,9600,0.48581997022032736,19.0,305.0,5,169
48,-126.21240000000004,200,0.5198,9800,0.47061352148652075,16.0,276.0,3,187
49,-105.58719999999997,200,0.51,10000,0.477599380761385,24.0,257.0,6,147
50,-115.8652,200,0.5002,10200,0.49500455111265185,31.0,291.0,6,171
51,-87.84320000000002,200,0.49039999999999995,10400,0.5015708220750094,27.0,229.0,7,176
52,-149.3058,200,0.4806,10600,0.49455175884068014,35.0,368.0,7,167
53,-160.65359999999993,200,0.4708,10800,0.4700896103680134,9.0,329.0,3,151
54,-181.40180000000012,200,0.46099999999999997,11000,0.478030995875597,5.0,362.0,1,177
55,-132.35639999999998,200,0.45119999999999993,11200,0.4950883845984936,6.0,266.0,1,168
56,-138.19480000000001,200,0.4414,11400,0.47465020418167114,6.0,279.0,1,166
57,-161.3638000000001,200,0.4316000000000001,11600,0.5059415369480849,17.0,349.0,4,142
58,-141.3642,200,0.42180000000000006,11800,0.49506382666528226,19.0,316.0,5,151
59,-134.93139999999997,200,0.41200000000000003,12000,0.4857270868867636,13.0,287.0,3,169
60,-152.5134,200,0.4022,12200,0.5035544571280479,25.0,352.0,8,165
61,-156.3970000000001,200,0.39239999999999997,12400,0.474719008654356,11.0,327.0,3,162
62,-85.4862,200,0.38260000000000005,12600,0.49882885910570623,31.0,231.0,5,164
63,-107.36940000000004,200,0.3728,12800,0.4838952130079269,41.0,299.0,11,162
64,-71.73479999999994,200,0.363,13000,0.5026375267654657,50.0,248.0,10,160
65,-141.6328,200,0.35319999999999996,13200,0.5161258080601692,26.0,332.0,6,157
66,-127.59839999999997,200,0.3433999999999999,13400,0.5110945565253496,35.0,322.0,6,163
67,-88.53399999999993,200,0.3336,13600,0.5286336990445852,43.0,263.0,11,152
68,-69.2404,200,0.3238000000000001,13800,0.5118315958231687,64.0,275.0,15,169
69,-75.23140000000002,200,0.31400000000000006,14000,0.5052919363975525,33.0,213.0,10,168
70,-89.40239999999994,200,0.3042,14200,0.5314870242029428,52.0,286.0,11,165
71,-134.34420000000003,200,0.2944,14400,0.5257093672454357,27.0,318.0,6,171
72,-73.88079999999998,200,0.2846000000000001,14600,0.5190259370952844,33.0,212.0,13,172
73,-126.61479999999997,200,0.27480000000000004,14800,0.5413139367848635,12.0,269.0,4,146
74,-63.854400000000005,200,0.265,15000,0.5464096049964428,28.0,178.0,15,165
75,-119.5882,200,0.2552,15200,0.5714277448505163,26.0,288.0,9,169
76,-86.19760000000007,200,0.24539999999999995,15400,0.5425257714092732,40.0,248.0,8,156
77,-96.81439999999999,200,0.23560000000000003,15600,0.5582005057483912,40.0,270.0,9,159
78,-81.46499999999996,200,0.2258,15800,0.5397328332811594,50.0,264.0,10,169
79,-124.48579999999998,200,0.21599999999999997,16000,0.5579924309253692,37.0,324.0,14,130
80,-65.687,200,0.20619999999999994,16200,0.5652053740620613,31.0,192.0,9,150
81,-103.20019999999997,200,0.19640000000000002,16400,0.5615166120231152,33.0,269.0,12,158
82,-144.4618,200,0.1866000000000001,16600,0.5637056179344654,17.0,314.0,6,144
83,-111.44159999999998,200,0.17680000000000007,16800,0.5452729707956314,38.0,300.0,8,169
84,-125.19580000000002,200,0.16700000000000004,17000,0.5550299946218729,38.0,326.0,10,141
85,-87.02500000000003,200,0.1572,17200,0.577589840143919,39.0,253.0,9,168
86,-46.16580000000002,200,0.14739999999999998,17400,0.5682510399073363,49.0,192.0,10,136
87,-131.43359999999998,200,0.13760000000000006,17600,0.5979127268493175,35.0,330.0,8,153
88,-137.0612000000001,200,0.12780000000000002,17800,0.5703335513174533,39.0,349.0,6,149
89,-74.4888,200,0.118,18000,0.5750680962204933,31.0,207.0,11,160
90,-108.98459999999997,200,0.10819999999999996,18200,0.603236956819892,47.0,306.0,12,171
91,-92.82399999999994,200,0.09839999999999993,18400,0.5549043866246939,48.0,281.0,14,163
92,-92.01700000000002,200,0.08860000000000001,18600,0.5807174902409316,50.0,284.0,11,137
93,-61.20959999999997,200,0.07880000000000009,18800,0.588806983307004,50.0,222.0,12,152
94,-54.950400000000016,200,0.06900000000000006,19000,0.5621217391639948,39.0,186.0,14,174
95,-106.8198,200,0.05920000000000003,19200,0.6162846975028515,12.0,230.0,4,152
96,-84.36379999999996,200,0.0494,19400,0.6184845496714115,37.0,240.0,12,174
97,-56.10399999999999,200,0.03960000000000008,19600,0.6143518836796283,48.0,207.0,12,160
98,-55.544,200,0.02980000000000005,19800,0.6052722999453545,60.0,234.0,16,171
99,-66.06719999999997,200,0.02,20000,0.6134493701159954,64.0,265.0,18,164
100,-106.52319999999999,200,0.02,20200,0.6262425310909748,32.0,278.0,7,157
101,-125.05040000000002,200,0.02,20400,0.5959323086589575,44.0,343.0,10,134
102,-137.03639999999996,200,0.02,20600,0.6102936980873346,37.0,347.0,14,181
103,-14.936800000000003,200,0.02,20800,0.6063554762676359,75.0,191.0,15,145
104,-124.31699999999996,200,0.02,21000,0.5950472974777221,45.0,336.0,11,137
105,-120.74300000000001,200,0.02,21200,0.635369336605072,33.0,301.0,8,152
106,-116.2594,200,0.02,21400,0.6332694961875677,34.0,297.0,7,150
