episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
0,-1785.3100000000002,200,0.9981,200,0.0,6.0,359.0,1,178
1,-1727.7559999999996,200,0.9962,400,0.0,10.0,357.0,2,177
2,-1648.816,200,0.9943,600,0.0,2.0,323.0,1,174
3,-1833.5659999999998,200,0.9924,800,0.0,11.0,380.0,1,176
4,-1357.1439999999998,200,0.9905,1000,12.695706367492676,23.0,312.0,4,169
5,-1280.1039999999998,200,0.9886,1200,8.454116997718812,3.0,250.0,1,183
6,-1663.2800000000004,200,0.9867,1400,8.185560110807419,5.0,332.0,1,175
7,-1648.9539999999997,200,0.9848,1600,7.958405510187149,4.0,327.0,1,177
8,-1948.7779999999998,200,0.9829,1800,8.11249885559082,0.0,380.0,0,178
9,-1617.9820000000009,200,0.981,2000,8.322614853382111,0.0,312.0,0,175
10,-1430.439999999999,200,0.9791,2200,7.683265117406845,9.0,296.0,3,180
11,-1459.9559999999997,200,0.9772,2400,7.708457781076431,14.0,312.0,4,183
12,-1656.9740000000002,200,0.9753000000000001,2600,7.755311967730522,15.0,354.0,4,175
13,-1631.7619999999995,200,0.9734,2800,7.718078854084015,3.0,322.0,2,185
14,-1499.1740000000002,200,0.9715,3000,7.91848708987236,18.0,329.0,4,177
15,-1891.7559999999994,200,0.9696,3200,7.795356159210205,0.0,367.0,0,180
16,-1680.044,200,0.9677,3400,7.946307859420776,0.0,325.0,0,176
17,-1240.322,200,0.9658,3600,7.54489000082016,12.0,264.0,2,173
18,-1229.8320000000003,200,0.9639,3800,7.616397153139115,8.0,254.0,2,175
19,-1443.9040000000007,200,0.962,4000,7.247027789354324,9.0,298.0,2,180
20,-1723.95,200,0.9601,4200,7.731948847770691,0.0,334.0,0,176
21,-1810.6819999999998,200,0.9582,4400,7.587679991722107,0.0,351.0,0,174
22,-1614.3819999999994,200,0.9563,4600,7.402099158763885,0.0,312.0,0,183
23,-1763.7599999999998,200,0.9544,4800,7.470586780309677,0.0,342.0,0,167
24,-1291.242,200,0.9525,5000,7.491036568880081,6.0,260.0,1,177
25,-952.876,200,0.9506,5200,7.495730909109116,19.0,221.0,3,179
26,-1133.8679999999997,200,0.9487,5400,7.301468721628189,3.0,223.0,1,169
27,-1216.0999999999995,200,0.9468,5600,7.164707617759705,4.0,241.0,1,175
28,-1320.5420000000001,200,0.9449,5800,6.722318964004517,8.0,270.0,1,180
29,-1340.23,200,0.9430000000000001,6000,6.978361252546311,16.0,295.0,3,183
30,-1677.8140000000003,200,0.9411,6200,7.058814083337784,0.0,325.0,0,173
31,-1687.2460000000003,200,0.9392,6400,7.050236941576004,7.0,342.0,2,168
32,-1102.1460000000004,200,0.9373,6600,6.865905528068542,23.0,262.0,6,174
33,-1752.4880000000005,200,0.9354,6800,7.077754846215248,6.0,352.0,1,178
34,-1579.85,200,0.9335,7000,6.946534904241562,0.0,305.0,0,183
35,-1615.7899999999995,200,0.9316,7200,6.514161220788956,1.0,315.0,1,172
