episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
0,-6926.417999999999,200,0.9981,200,0.0,0.0,1363.0,0,178
1,-5766.04,200,0.9962,400,0.0,0.0,1130.0,0,177
2,-6459.816000000001,200,0.9943,600,0.0,11.0,1292.0,2,174
3,-7091.717999999999,200,0.9924,800,0.0,0.0,1397.0,0,176
4,-6063.5679999999975,200,0.9905,1000,22.832427978515625,14.0,1222.0,2,169
5,-5555.787999999997,200,0.9886,1200,27.59446277618408,0.0,1088.0,0,183
6,-6781.474000000001,200,0.9867,1400,25.380235052108766,0.0,1334.0,0,175
7,-6639.6579999999985,200,0.9848,1600,25.382908782958985,3.0,1313.0,1,177
8,-6827.158,200,0.9829,1800,25.478253540992736,0.0,1343.0,0,178
9,-6928.77,200,0.981,2000,25.615969457626342,0.0,1364.0,0,175
10,-6692.382,200,0.9791,2200,24.738493337631226,19.0,1357.0,4,180
11,-7313.765999999998,200,0.9772,2400,24.584573307037353,14.0,1469.0,2,185
12,-5123.106000000002,200,0.9753000000000001,2600,24.111945786476134,27.0,1062.0,4,175
13,-6191.1860000000015,200,0.9734,2800,23.60093946456909,6.0,1230.0,2,184
14,-6388.500000000002,200,0.9715,3000,22.9246954202652,23.0,1307.0,4,178
15,-6327.8719999999985,200,0.9696,3200,22.413149127960207,5.0,1253.0,1,180
16,-6637.173999999999,200,0.9677,3400,21.496857981681824,0.0,1306.0,0,175
17,-7013.046000000001,200,0.9658,3600,22.054321336746217,0.0,1380.0,0,175
18,-5797.029999999997,200,0.9639,3800,20.914476342201233,27.0,1200.0,5,175
19,-6496.139999999998,200,0.962,4000,21.21336316585541,0.0,1277.0,0,180
20,-6356.550000000001,200,0.9601,4200,21.04504035949707,11.0,1273.0,2,171
21,-6813.644000000003,200,0.9582,4400,20.73702910900116,0.0,1340.0,0,175
22,-6797.701999999999,200,0.9563,4600,20.090084891319275,0.0,1337.0,0,183
23,-6546.177999999999,200,0.9544,4800,20.18913519859314,7.0,1302.0,1,168
24,-6883.494000000001,200,0.9525,5000,19.632219524383544,7.0,1370.0,1,176
25,-7087.590000000001,200,0.9506,5200,20.00562798500061,15.0,1426.0,2,179
26,-6961.744000000001,200,0.9487,5400,19.685668568611145,0.0,1370.0,0,173
27,-7125.610000000001,200,0.9468,5600,19.85510460853577,0.0,1403.0,0,175
28,-6838.188000000001,200,0.9449,5800,19.640828218460083,14.0,1379.0,3,182
29,-7195.875999999998,200,0.9430000000000001,6000,19.41461404323578,12.0,1443.0,2,180
30,-7057.097999999999,200,0.9411,6200,20.12799614906311,15.0,1422.0,2,177
31,-6002.727999999997,200,0.9392,6400,19.82465570449829,4.0,1188.0,1,172
32,-6143.132,200,0.9373,6600,20.187191867828368,1.0,1208.0,1,176
33,-6756.766000000003,200,0.9354,6800,20.00107909202576,0.0,1330.0,0,179
34,-5659.466,200,0.9335,7000,19.85835657596588,0.0,1110.0,0,183
