episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
0,-178.531,200,0.9991833333333333,200,0.0,6.0,359.0,1,178
1,-172.77559999999994,200,0.9983666666666666,400,0.0,10.0,357.0,2,177
2,-133.27720000000002,200,0.99755,600,0.0,25.0,313.0,7,177
3,-200.69359999999995,200,0.9967333333333334,800,0.0,0.0,391.0,0,175
4,-172.77040000000008,200,0.9959166666666667,1000,0.0,0.0,335.0,0,176
5,-97.25180000000003,200,0.9951,1200,0.0,22.0,231.0,5,178
6,-161.16180000000003,200,0.9942833333333333,1400,0.0,9.0,331.0,2,169
7,-153.40960000000004,200,0.9934666666666667,1600,0.0,11.0,320.0,2,180
8,-184.49420000000006,200,0.99265,1800,0.0,6.0,372.0,1,182
9,-150.83699999999993,200,0.9918333333333333,2000,0.0,7.0,305.0,1,172
10,-138.50580000000008,200,0.9910166666666667,2200,0.0,12.0,293.0,2,179
11,-168.62159999999997,200,0.9902,2400,0.0,0.0,326.0,0,182
12,-168.30759999999995,200,0.9893833333333333,2600,0.0,13.0,354.0,3,175
13,-166.23820000000006,200,0.9885666666666667,2800,0.0,2.0,326.0,1,177
14,-151.59079999999992,200,0.98775,3000,0.0,18.0,336.0,4,176
15,-174.99879999999996,200,0.9869333333333333,3200,0.0,9.0,358.0,2,174
16,-160.2044,200,0.9861166666666666,3400,0.0,5.0,320.0,1,173
17,-143.5146,200,0.9853,3600,0.0,0.0,276.0,0,177
18,-136.0156000000001,200,0.9844833333333334,3800,0.0,0.0,262.0,0,180
19,-146.5484,200,0.9836666666666667,4000,0.0,8.0,299.0,1,177
20,-172.3849999999999,200,0.98285,4200,0.0,0.0,334.0,0,175
21,-153.17919999999992,200,0.9820333333333333,4400,0.0,17.0,334.0,4,174
22,-156.68180000000007,200,0.9812166666666666,4600,0.0,3.0,309.0,1,178
23,-138.83879999999994,200,0.9804,4800,0.0,26.0,324.0,6,165
24,-138.51340000000002,200,0.9795833333333334,5000,0.5773826241493225,0.0,266.0,0,175
25,-125.37160000000003,200,0.9787666666666667,5200,0.6712475740909576,0.0,240.0,0,180
26,-94.64179999999998,200,0.97795,5400,0.6511587938666343,18.0,217.0,3,177
27,-102.00320000000005,200,0.9771333333333333,5600,0.64788061439991,17.0,229.0,1,178
28,-144.5306,200,0.9763166666666667,5800,0.628456296697259,0.0,278.0,0,179
29,-133.52579999999995,200,0.9755,6000,0.6259467492997647,18.0,295.0,3,181
30,-132.02080000000007,200,0.9746833333333333,6200,0.6384989959001541,20.0,299.0,5,172
31,-171.85580000000007,200,0.9738666666666667,6400,0.6020533725619316,3.0,339.0,1,182
32,-134.49759999999995,200,0.97305,6600,0.6239319017529488,7.0,273.0,2,173
33,-184.73960000000008,200,0.9722333333333333,6800,0.5731663686782121,0.0,358.0,0,181
34,-150.59560000000016,200,0.9714166666666667,7000,0.6079262883961201,7.0,305.0,1,182
35,-163.24700000000004,200,0.9706,7200,0.5910240782797337,0.0,316.0,0,183
36,-119.91019999999999,200,0.9697833333333333,7400,0.5787151825428009,1.0,231.0,1,168
37,-155.9334,200,0.9689666666666666,7600,0.5869911762326956,28.0,366.0,6,176
38,-189.64280000000005,200,0.96815,7800,0.5678867807984352,0.0,368.0,0,174
39,-130.79859999999994,200,0.9673333333333334,8000,0.5892819306254387,7.0,266.0,3,175
40,-148.1994,200,0.9665166666666667,8200,0.551825932264328,16.0,320.0,4,179
41,-190.2122000000001,200,0.9657,8400,0.5603502638638019,0.0,370.0,0,177
42,-160.46999999999997,200,0.9648833333333333,8600,0.5768052051961422,9.0,330.0,2,170
43,-187.6203999999999,200,0.9640666666666666,8800,0.557253495529294,0.0,363.0,0,179
44,-193.3486,200,0.96325,9000,0.545255482122302,0.0,375.0,0,183
45,-140.46599999999998,200,0.9624333333333334,9200,0.5355840207636356,32.0,344.0,6,177
46,-144.38079999999997,200,0.9616166666666667,9400,0.5484188390523195,20.0,324.0,5,181
47,-153.6816,200,0.9608,9600,0.5364491192251444,9.0,315.0,2,173
48,-152.62499999999997,200,0.9599833333333333,9800,0.5245592207461596,0.0,294.0,0,179
49,-118.97939999999997,200,0.9591666666666667,10000,0.5219194536656141,19.0,270.0,4,183
50,-148.84280000000007,200,0.95835,10200,0.530414382815361,9.0,306.0,1,185
51,-132.58439999999996,200,0.9575333333333333,10400,0.5140226644277572,0.0,255.0,0,182
52,-184.23899999999995,200,0.9567166666666667,10600,0.5218238209560514,13.0,387.0,4,180
53,-173.51179999999988,200,0.9559,10800,0.5101089682430029,0.0,335.0,0,173
54,-179.63959999999997,200,0.9550833333333333,11000,0.5117852655798196,6.0,361.0,1,169
55,-141.9492,200,0.9542666666666667,11200,0.5257795518636703,0.0,272.0,0,183
56,-137.2789999999999,200,0.95345,11400,0.4917950728535652,5.0,275.0,3,170
57,-179.32279999999992,200,0.9526333333333333,11600,0.5052601420134306,9.0,366.0,2,179
58,-164.60379999999998,200,0.9518166666666666,11800,0.5064572264254094,2.0,323.0,1,176
59,-153.2696,200,0.951,12000,0.49808913812041283,0.0,295.0,0,175
60,-193.67340000000002,200,0.9501833333333334,12200,0.4827553430199623,0.0,377.0,0,170
61,-174.7848,200,0.9493666666666667,12400,0.48031613111495974,0.0,338.0,0,175
62,-133.3344,200,0.94855,12600,0.49988580696284773,0.0,256.0,0,178
63,-174.61200000000002,200,0.9477333333333333,12800,0.4714966507256031,3.0,345.0,2,182
64,-108.06799999999998,200,0.9469166666666666,13000,0.49307172402739524,26.0,263.0,5,175
65,-167.50459999999998,200,0.9461,13200,0.47029724091291425,10.0,348.0,3,178
66,-165.85499999999993,200,0.9452833333333334,13400,0.4650371242314577,7.0,336.0,2,175
67,-110.99379999999996,200,0.9444666666666667,13600,0.5044836334884166,32.0,285.0,7,179
68,-144.41400000000002,200,0.94365,13800,0.44857267759740355,24.0,332.0,5,176
69,-117.22959999999995,200,0.9428333333333333,14000,0.4736624634638429,14.0,256.0,2,173
70,-105.92179999999995,200,0.9420166666666667,14200,0.4860257067531347,40.0,294.0,10,173
71,-181.8611999999999,200,0.9412,14400,0.46941265687346456,0.0,353.0,0,175
72,-128.49199999999993,200,0.9403833333333333,14600,0.4754002118110657,7.0,261.0,3,170
73,-112.11560000000004,200,0.9395666666666667,14800,0.4607683857530355,21.0,260.0,5,172
74,-132.21119999999996,200,0.93875,15000,0.4632951362431049,0.0,254.0,0,177
75,-168.11759999999995,200,0.9379333333333333,15200,0.46379602134227754,0.0,326.0,0,183
76,-131.25199999999998,200,0.9371166666666667,15400,0.476435942389071,9.0,270.0,2,177
77,-145.93759999999995,200,0.9363,15600,0.4951120036840439,15.0,314.0,4,179
78,-143.1072,200,0.9354833333333333,15800,0.4645443619042635,14.0,306.0,4,178
79,-159.93779999999992,200,0.9346666666666666,16000,0.46260094180703165,19.0,352.0,5,177
80,-111.88680000000002,200,0.93385,16200,0.4809556805342436,9.0,233.0,2,187
81,-166.76940000000005,200,0.9330333333333334,16400,0.46750328481197356,4.0,331.0,1,176
82,-163.77459999999994,200,0.9322166666666667,16600,0.45153925850987436,9.0,336.0,2,178
83,-159.94899999999993,200,0.9314,16800,0.46796813286840916,10.0,332.0,2,180
84,-151.51700000000005,200,0.9305833333333333,17000,0.47167396210134027,22.0,341.0,6,183
85,-115.8652,200,0.9297666666666666,17200,0.4838453742861748,20.0,268.0,5,178
86,-129.32259999999997,200,0.92895,17400,0.46351392261683944,0.0,247.0,0,179
87,-186.6896,200,0.9281333333333334,17600,0.469366303011775,0.0,362.0,0,175
88,-153.72960000000006,200,0.9273166666666667,17800,0.479471367970109,24.0,353.0,5,183
89,-127.74099999999999,200,0.9265,18000,0.46962707631289957,6.0,258.0,1,180
90,-184.36980000000008,200,0.9256833333333333,18200,0.5019086673855782,7.0,373.0,2,180
91,-175.02120000000008,200,0.9248666666666667,18400,0.4848165039718151,5.0,351.0,2,177
92,-171.52719999999988,200,0.92405,18600,0.48324897050857546,0.0,332.0,0,173
93,-129.13520000000003,200,0.9232333333333334,18800,0.48249657832086085,9.0,267.0,2,169
94,-111.16940000000002,200,0.9224166666666667,19000,0.4555740208923817,15.0,245.0,2,179
95,-122.92279999999997,200,0.9216,19200,0.45897938013076783,2.0,240.0,1,170
96,-160.2658000000001,200,0.9207833333333333,19400,0.5056457146257162,0.0,310.0,0,188
97,-132.6336,200,0.9199666666666667,19600,0.478968207128346,7.0,269.0,2,177
98,-151.33080000000004,200,0.91915,19800,0.4880236724764109,0.0,292.0,0,179
99,-186.08520000000001,200,0.9183333333333333,20000,0.47195233538746834,0.0,361.0,1,178
100,-162.73479999999998,200,0.9175166666666666,20200,0.4887401108443737,0.0,314.0,0,178
101,-156.6,200,0.9167,20400,0.4898186308145523,26.0,359.0,7,172
