episode,total_reward,steps,delivered_units,spoiled_units,deliveries_count,distance
0,1118.9040000000007,200,170.0,140.0,48,184
1,979.7860000000002,200,160.0,144.0,41,196
2,1435.4460000000008,200,177.0,93.0,57,187
3,822.3240000000001,200,154.0,164.0,40,187
4,1246.6360000000002,200,159.0,89.0,46,194
5,1836.4140000000007,200,191.0,50.0,49,193
6,1450.3359999999998,200,178.0,97.0,51,195
7,1428.494,200,179.0,99.0,52,194
8,544.796,200,134.0,178.0,41,195
9,1443.0120000000004,200,171.0,72.0,43,194
10,1267.3959999999995,200,141.0,49.0,51,195
11,1275.1639999999998,200,171.0,109.0,46,194
12,907.5639999999996,200,147.0,127.0,45,187
13,1455.8899999999999,200,169.0,74.0,54,193
14,1285.6240000000003,200,174.0,113.0,43,195
15,1049.7359999999994,200,167.0,143.0,43,193
16,1307.732,200,167.0,97.0,44,179
17,1416.332,200,167.0,72.0,45,183
18,1421.2940000000003,200,154.0,42.0,47,192
19,1348.1879999999994,200,164.0,81.0,44,189
20,1133.1680000000001,200,162.0,119.0,49,182
21,1254.4119999999991,200,163.0,92.0,54,196
22,1129.3559999999995,200,149.0,96.0,43,188
23,1306.9099999999999,200,167.0,91.0,47,198
24,1590.4300000000007,200,177.0,64.0,47,191
25,1484.442,200,164.0,53.0,44,184
26,1523.9719999999998,200,156.0,29.0,54,185
27,1616.8120000000006,200,174.0,43.0,43,193
28,1377.8860000000002,200,163.0,70.0,42,195
29,1393.0639999999999,200,162.0,63.0,50,193
30,923.1760000000003,200,125.0,76.0,45,190
31,1165.0380000000002,200,171.0,131.0,46,185
32,1830.8039999999999,200,191.0,38.0,53,196
33,1375.2259999999997,200,165.0,72.0,50,195
34,1409.8619999999999,200,174.0,88.0,44,185
35,1021.1759999999998,200,144.0,100.0,43,195
36,1435.1239999999996,200,168.0,66.0,36,181
37,1080.564,200,170.0,145.0,46,191
38,755.1579999999998,200,150.0,166.0,39,197
39,1513.988,200,164.0,45.0,52,189
40,1354.8560000000004,200,163.0,80.0,47,178
41,933.9920000000005,200,155.0,135.0,42,197
42,988.4239999999996,200,158.0,137.0,46,190
43,839.1459999999998,200,167.0,185.0,40,190
44,1425.8759999999997,200,194.0,129.0,46,189
45,1337.6560000000006,200,180.0,118.0,54,198
46,1212.2879999999996,200,175.0,131.0,41,189
47,1324.8560000000002,200,161.0,80.0,45,197
48,1431.8680000000002,200,177.0,96.0,39,183
49,1723.4779999999985,200,185.0,51.0,53,194
50,1197.2680000000012,200,167.0,117.0,47,191
51,1267.4659999999994,200,152.0,69.0,41,188
52,1124.3200000000006,200,183.0,169.0,46,191
53,1084.884,200,160.0,130.0,42,196
54,1286.694,200,170.0,103.0,56,196
55,1447.529999999999,200,170.0,79.0,43,184
56,1235.308,200,152.0,80.0,52,196
57,1367.8780000000008,200,181.0,118.0,48,189
58,1142.83,200,155.0,103.0,45,193
59,1555.3979999999988,200,181.0,78.0,51,188
60,1324.3640000000007,200,166.0,89.0,54,181
61,1497.2499999999995,200,186.0,100.0,50,196
62,1166.4319999999998,200,145.0,72.0,32,171
63,1297.6380000000001,200,142.0,44.0,61,194
64,1575.9579999999999,200,176.0,64.0,45,185
65,676.1240000000003,200,130.0,142.0,39,191
66,915.5139999999996,200,141.0,115.0,41,189
67,898.7080000000005,200,139.0,116.0,41,191
68,1231.5860000000005,200,177.0,136.0,49,187
69,1304.8860000000006,200,138.0,23.0,45,194
70,957.5039999999998,200,149.0,124.0,42,195
71,1461.956,200,177.0,87.0,54,186
72,1703.3679999999995,200,186.0,56.0,48,196
73,1209.2979999999995,200,131.0,34.0,47,196
74,1561.8879999999995,200,166.0,45.0,46,181
75,1130.2100000000012,200,148.0,85.0,53,197
76,1620.3239999999996,200,175.0,48.0,45,194
77,1515.6119999999996,200,183.0,92.0,43,179
78,1459.5659999999998,200,170.0,66.0,52,198
79,1066.0919999999999,200,160.0,130.0,51,195
80,1309.1219999999992,200,140.0,31.0,44,191
81,1384.3039999999996,200,171.0,87.0,49,198
82,1325.2119999999995,200,177.0,114.0,47,188
83,1042.544,200,145.0,98.0,46,196
84,1104.6680000000003,200,160.0,118.0,49,197
85,1604.7279999999998,200,176.0,55.0,50,180
86,1565.6100000000008,200,175.0,58.0,40,187
87,1136.4539999999997,200,171.0,143.0,45,189
88,1032.5540000000005,200,159.0,130.0,48,185
89,1165.6140000000005,200,151.0,90.0,40,172
90,727.7819999999997,200,163.0,196.0,30,178
91,713.9799999999994,200,140.0,150.0,37,188
92,1364.3699999999985,200,166.0,84.0,52,192
93,1562.8500000000006,200,179.0,70.0,41,189
94,1445.5880000000002,200,159.0,55.0,45,189
95,1718.668,200,172.0,26.0,52,188
96,1107.019999999999,200,157.0,111.0,44,195
97,1531.6779999999994,200,182.0,83.0,46,183
98,1337.7060000000004,200,155.0,58.0,44,194
99,1295.7500000000005,200,166.0,91.0,49,196
