episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
0,-1785.3100000000002,200,0.99915,53,6.0,359.0,1,178
1,-1727.7559999999996,200,0.9983,88,10.0,357.0,2,177
2,-1332.7720000000002,200,0.99745,111,25.0,313.0,7,177
3,-2006.9360000000004,200,0.9966,132,0.0,391.0,0,175
4,-1727.7040000000002,200,0.99575,153,0.0,335.0,0,176
5,-1326.9640000000004,200,0.9949,173,0.0,253.0,0,177
6,-1741.69,200,0.99405,193,0.0,337.0,0,179
7,-1533.7739999999994,200,0.9932,204,11.0,320.0,2,177
8,-1706.7139999999995,200,0.99235,226,15.0,365.0,4,177
9,-1508.6560000000004,200,0.9915,240,7.0,305.0,1,175
10,-1454.0760000000005,200,0.99065,258,8.0,297.0,2,181
11,-1368.7919999999995,200,0.9898,265,19.0,307.0,6,180
12,-1682.9239999999998,200,0.98895,278,13.0,354.0,3,174
13,-1662.4740000000002,200,0.9881,292,2.0,326.0,1,178
14,-1170.1319999999996,200,0.98725,302,40.0,314.0,7,179
15,-1635.8040000000005,200,0.9864,322,16.0,351.0,3,172
16,-1602.2040000000009,200,0.98555,337,5.0,320.0,1,175
17,-1358.4759999999994,200,0.9847,348,7.0,276.0,2,181
18,-1241.1839999999993,200,0.98385,356,7.0,254.0,2,178
19,-1590.9680000000005,200,0.983,374,0.0,307.0,0,184
20,-1723.5500000000004,200,0.98215,388,0.0,334.0,0,172
21,-1556.7020000000002,200,0.9813,411,17.0,337.0,3,175
22,-1271.9220000000005,200,0.98045,424,20.0,292.0,4,178
23,-1323.9419999999998,200,0.9796,431,25.0,312.0,6,179
24,-1385.7340000000006,200,0.97875,439,0.0,266.0,0,181
25,-1190.824,200,0.9779,455,4.0,236.0,1,179
26,-973.6080000000004,200,0.97705,467,16.0,219.0,3,175
27,-698.346,200,0.9762,478,37.0,209.0,5,176
28,-1320.3740000000005,200,0.97535,491,8.0,270.0,1,178
29,-1466.5300000000009,200,0.9745,499,10.0,305.0,3,180
30,-1500.228,200,0.97365,501,11.0,314.0,2,171
31,-1766.3879999999995,200,0.9728,504,0.0,342.0,0,189
32,-1458.0720000000003,200,0.97195,512,0.0,280.0,0,175
33,-1847.2959999999991,200,0.9711,517,0.0,358.0,0,180
34,-1579.6499999999994,200,0.97025,523,0.0,305.0,0,181
35,-1472.3300000000002,200,0.9694,526,10.0,306.0,2,187
36,-1215.9380000000003,200,0.96855,530,0.0,232.0,0,179
37,-1664.718,200,0.9677,531,22.0,373.0,5,176
38,-1896.5279999999989,200,0.96685,533,0.0,368.0,0,175
39,-1276.0180000000003,200,0.966,542,8.0,262.0,5,180
40,-1560.0740000000003,200,0.96515,546,11.0,325.0,2,183
41,-1595.2979999999998,200,0.9643,549,19.0,350.0,5,179
42,-1728.720000000001,200,0.96345,556,2.0,339.0,1,169
43,-1798.474,200,0.9626,564,5.0,358.0,1,184
44,-1722.552,200,0.96175,568,13.0,362.0,2,182
45,-1768.504,200,0.9609,576,10.0,366.0,3,171
46,-1782.2779999999998,200,0.96005,580,0.0,344.0,0,180
47,-1663.835999999999,200,0.9592,589,1.0,323.0,1,177
48,-1525.9500000000005,200,0.95835,603,0.0,294.0,0,176
49,-1500.9560000000004,200,0.9575,607,0.0,289.0,0,183
50,-1344.4159999999997,200,0.95665,611,18.0,301.0,6,180
51,-1180.4039999999998,200,0.9558,616,9.0,246.0,2,182
52,-1753.606,200,0.95495,620,18.0,379.0,3,184
53,-1735.018,200,0.9541,621,0.0,335.0,0,172
54,-1735.0079999999996,200,0.95325,626,10.0,357.0,1,171
55,-1293.6200000000003,200,0.9524,645,8.0,264.0,2,181
56,-1380.5440000000008,200,0.95155,645,6.0,279.0,3,171
57,-1892.0080000000003,200,0.9507,646,0.0,366.0,0,175
58,-1548.342,200,0.94985,647,8.0,317.0,3,172
59,-1417.8699999999997,200,0.949,649,9.0,291.0,2,176
60,-1937.633999999999,200,0.94815,662,0.0,377.0,0,179
61,-1701.2280000000007,200,0.9473,666,3.0,335.0,1,175
62,-1333.1440000000005,200,0.94645,667,0.0,256.0,0,176
63,-1831.5340000000003,200,0.9456,670,0.0,356.0,0,170
64,-1341.3,200,0.94475,672,10.0,279.0,3,175
65,-1880.2659999999998,200,0.9439,674,0.0,366.0,0,176
66,-1333.1840000000002,200,0.9430499999999999,679,27.0,316.0,5,177
67,-1250.726,200,0.9422,686,17.0,278.0,9,178
68,-1521.6160000000002,200,0.94135,689,19.0,336.0,5,187
69,-1163.9619999999998,200,0.9405,697,15.0,255.0,2,172
70,-1493.8539999999991,200,0.93965,706,17.0,325.0,4,169
71,-1583.784,200,0.9388,712,15.0,338.0,2,178
72,-1332.6159999999998,200,0.9379500000000001,724,4.0,264.0,2,176
73,-1379.0100000000004,200,0.9371,724,6.0,278.0,2,172
74,-1322.4119999999998,200,0.93625,741,0.0,254.0,0,180
75,-1681.376,200,0.9354,744,0.0,326.0,0,185
76,-1380.4920000000002,200,0.93455,744,5.0,275.0,1,178
