episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
0,-1785.3100000000002,200,0.9994333333333333,53,6.0,359.0,1,178
1,-1727.7559999999996,200,0.9988666666666667,88,10.0,357.0,2,177
2,-1332.7720000000002,200,0.9983,111,25.0,313.0,7,177
3,-2006.9360000000004,200,0.9977333333333334,132,0.0,391.0,0,175
4,-1727.7040000000002,200,0.9971666666666666,153,0.0,335.0,0,176
5,-1326.9640000000004,200,0.9966,173,0.0,253.0,0,177
6,-1741.69,200,0.9960333333333333,193,0.0,337.0,0,179
7,-1534.4740000000002,200,0.9954666666666667,203,11.0,320.0,2,184
8,-1948.7779999999998,200,0.9949,217,0.0,380.0,0,178
9,-1440.1259999999993,200,0.9943333333333333,229,11.0,301.0,2,178
10,-1501.1819999999989,200,0.9937666666666667,247,5.0,300.0,1,182
11,-1322.228,200,0.9932,256,22.0,304.0,7,181
12,-1682.7980000000005,200,0.9926333333333334,265,13.0,354.0,3,173
13,-1662.4700000000007,200,0.9920666666666667,275,2.0,326.0,1,178
14,-1472.1560000000002,200,0.9915,276,20.0,334.0,5,182
15,-1667.595999999999,200,0.9909333333333333,300,14.0,353.0,3,171
16,-1602.104000000001,200,0.9903666666666666,315,5.0,320.0,1,174
17,-1435.0459999999991,200,0.9898,327,0.0,276.0,0,176
18,-1297.44,200,0.9892333333333333,335,4.0,258.0,1,183
19,-1543.9399999999991,200,0.9886666666666667,354,3.0,304.0,1,187
20,-1723.65,200,0.9881,367,0.0,334.0,0,173
21,-1764.71,200,0.9875333333333334,390,3.0,348.0,1,180
22,-1079.2379999999998,200,0.9869666666666667,403,32.0,280.0,6,179
23,-1617.506000000001,200,0.9864,416,9.0,333.0,2,172
24,-1322.4060000000002,200,0.9858333333333333,421,4.0,262.0,1,181
25,-1253.8160000000005,200,0.9852666666666666,438,0.0,240.0,0,181
26,-1020.6200000000007,200,0.9847,448,10.0,216.0,2,179
27,-1066.778,200,0.9841333333333333,462,13.0,233.0,3,167
28,-1278.222,200,0.9835666666666667,470,12.0,270.0,2,178
29,-1417.2200000000003,200,0.983,482,11.0,300.0,4,183
30,-1598.8140000000005,200,0.9824333333333334,488,5.0,320.0,1,172
31,-1673.5339999999999,200,0.9818666666666667,494,7.0,339.0,2,182
32,-1239.6659999999993,200,0.9813,499,14.0,266.0,3,183
