episode,total_reward,steps,delivered_units,spoiled_units,deliveries_count,distance
0,-1595.9460000000001,200,18.0,347.0,4,180
1,-1547.0440000000006,200,21.0,346.0,4,180
2,-1435.5299999999995,200,15.0,310.0,5,167
3,-1911.7199999999996,200,6.0,385.0,1,170
4,-1727.5040000000006,200,0.0,335.0,0,174
5,-1094.0400000000002,200,14.0,239.0,3,181
6,-1741.29,200,0.0,337.0,0,175
7,-1394.93,200,19.0,312.0,3,182
8,-1467.5800000000006,200,30.0,350.0,7,176
9,-1618.2820000000008,200,0.0,312.0,0,178
10,-1418.7519999999981,200,10.0,295.0,3,176
11,-1638.864,200,3.0,323.0,1,176
12,-1753.3919999999994,200,9.0,360.0,3,178
13,-1598.7739999999994,200,6.0,322.0,1,167
14,-1823.8959999999997,200,0.0,354.0,0,175
15,-1808.6260000000002,200,5.0,361.0,1,186
16,-1364.3520000000008,200,21.0,307.0,3,175
17,-1207.8339999999998,200,14.0,262.0,2,180
18,-1358.8560000000002,200,0.0,262.0,0,167
19,-1590.468000000001,200,0.0,307.0,0,179
20,-1724.2500000000002,200,0.0,334.0,0,179
21,-1405.2800000000002,200,25.0,326.0,4,174
22,-1613.7819999999992,200,0.0,312.0,0,177
23,-1765.1599999999999,200,0.0,342.0,0,181
24,-1385.2340000000006,200,0.0,266.0,0,176
25,-1107.6960000000001,200,9.0,231.0,2,176
26,-1182.2200000000003,200,0.0,226.0,0,182
27,-1285.384,200,0.0,246.0,0,187
28,-1445.3059999999998,200,0.0,278.0,0,179
29,-1605.6619999999994,200,0.0,311.0,0,173
30,-1358.5940000000005,200,19.0,304.0,4,180
31,-1509.288000000001,200,15.0,327.0,4,180
32,-1051.1739999999993,200,25.0,255.0,4,180
33,-1738.5759999999996,200,7.0,351.0,1,182
34,-1580.2499999999995,200,0.0,305.0,0,187
35,-1631.6699999999998,200,0.0,316.0,0,175
36,-946.3300000000003,200,19.0,220.0,2,179
37,-1964.5200000000002,200,4.0,391.0,2,181
38,-1738.9199999999996,200,10.0,358.0,2,178
39,-1454.886,200,0.0,280.0,0,181
40,-1522.3539999999996,200,13.0,323.0,3,180
41,-1855.4399999999998,200,3.0,367.0,1,178
42,-1501.3580000000002,200,15.0,322.0,3,177
43,-1559.4319999999998,200,19.0,344.0,3,182
44,-1822.7179999999998,200,7.0,368.0,1,176
45,-1936.5839999999994,200,0.0,376.0,0,180
46,-1718.986,200,4.0,340.0,1,179
47,-1489.9279999999999,200,12.0,312.0,2,173
48,-1526.5500000000006,200,0.0,294.0,0,182
49,-1453.3339999999998,200,3.0,286.0,1,180
50,-1627.8000000000006,200,0.0,315.0,0,174
51,-1148.6900000000003,200,11.0,244.0,2,183
52,-1907.984,200,7.0,386.0,2,172
53,-1735.8180000000002,200,0.0,335.0,0,180
54,-1891.4480000000005,200,0.0,367.0,0,175
55,-1377.0799999999992,200,4.0,272.0,1,180
56,-1400.4660000000003,200,4.0,278.0,2,179
57,-1461.3919999999996,200,26.0,340.0,5,175
58,-1678.6819999999998,200,0.0,325.0,0,186
59,-1398.2760000000005,200,10.0,290.0,2,183
60,-1758.87,200,11.0,366.0,2,176
61,-1346.6079999999997,200,24.0,314.0,5,173
62,-1160.466,200,11.0,245.0,2,177
63,-1769.5019999999995,200,6.0,356.0,1,181
64,-1409.42,200,6.0,283.0,1,181
65,-1674.7119999999995,200,13.0,353.0,3,177
66,-1721.1319999999996,200,3.0,340.0,1,178
67,-1500.9799999999996,200,11.0,314.0,2,178
68,-1711.772,200,9.0,350.0,1,178
69,-1398.632000000001,200,0.0,270.0,0,172
70,-1763.1139999999998,200,0.0,342.0,0,173
71,-1766.2620000000002,200,5.0,353.0,1,178
72,-1397.156,200,0.0,268.0,0,177
73,-1488.5480000000002,200,0.0,287.0,0,177
74,-1322.5119999999997,200,0.0,254.0,0,181
75,-1363.6599999999994,200,18.0,308.0,5,178
76,-1379.6520000000005,200,5.0,275.0,1,168
77,-1505.6680000000001,200,10.0,312.0,2,179
78,-1638.6120000000005,200,0.0,317.0,0,179
79,-1909.5180000000003,200,0.0,371.0,0,177
80,-1180.0300000000004,200,5.0,237.0,1,176
81,-1635.9419999999993,200,6.0,329.0,1,173
82,-1496.312,200,16.0,324.0,5,170
83,-1535.0739999999992,200,14.0,328.0,2,180
84,-1464.6280000000002,200,23.0,333.0,6,175
85,-1439.3320000000008,200,4.0,286.0,1,175
86,-1293.9260000000002,200,0.0,247.0,0,186
87,-1663.3239999999992,200,13.0,349.0,2,183
88,-1766.1440000000002,200,11.0,366.0,3,178
89,-1370.2739999999997,200,0.0,264.0,0,176
90,-1701.7260000000003,200,16.0,364.0,3,183
91,-1753.6720000000003,200,5.0,351.0,1,175
92,-1448.8840000000005,200,17.0,315.0,2,169
93,-1437.9920000000002,200,0.0,276.0,0,181
94,-1241.7519999999997,200,7.0,253.0,1,176
95,-1261.6239999999998,200,0.0,242.0,0,179
96,-1601.658000000001,200,0.0,310.0,0,178
97,-1438.873999999999,200,0.0,276.0,0,180
98,-1450.5840000000005,200,4.0,288.0,1,178
99,-1617.6759999999997,200,13.0,340.0,4,181
