episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
0,-1785.3100000000002,200,0.99915,53,6.0,359.0,1,178
1,-1727.7559999999996,200,0.9983,88,10.0,357.0,2,177
2,-1332.7720000000002,200,0.99745,111,25.0,313.0,7,177
3,-2006.9360000000004,200,0.9966,132,0.0,391.0,0,175
4,-1727.7040000000002,200,0.99575,153,0.0,335.0,0,176
5,-1326.9640000000004,200,0.9949,173,0.0,253.0,0,177
6,-1741.69,200,0.99405,193,0.0,337.0,0,179
7,-1533.7739999999994,200,0.9932,204,11.0,320.0,2,177
8,-1684.278,200,0.99235,226,15.0,365.0,5,179
9,-1508.5020000000006,200,0.9915,232,7.0,305.0,1,175
10,-1454.0760000000005,200,0.99065,250,8.0,297.0,2,181
11,-1368.7919999999995,200,0.9898,257,19.0,307.0,6,180
12,-1682.9239999999998,200,0.98895,269,13.0,354.0,3,174
13,-1662.4740000000002,200,0.9881,284,2.0,326.0,1,178
14,-1169.9319999999996,200,0.98725,296,40.0,314.0,7,177
15,-1635.8040000000005,200,0.9864,316,16.0,351.0,3,172
16,-1602.2040000000009,200,0.98555,331,5.0,320.0,1,175
17,-1393.5059999999996,200,0.9847,342,4.0,276.0,1,181
18,-1241.1839999999993,200,0.98385,350,7.0,254.0,2,178
19,-1402.6719999999998,200,0.983,360,12.0,295.0,2,180
20,-1724.15,200,0.98215,373,0.0,334.0,0,178
21,-1682.8459999999998,200,0.9813,396,8.0,343.0,2,179
22,-1271.862,200,0.98045,408,20.0,292.0,4,177
23,-1703.1119999999994,200,0.9796,412,4.0,338.0,1,181
24,-1291.0539999999994,200,0.97875,417,6.0,260.0,1,178
25,-1190.7240000000002,200,0.9779,430,4.0,236.0,1,178
26,-973.6080000000004,200,0.97705,443,16.0,219.0,3,175
27,-698.246,200,0.9762,456,37.0,209.0,5,175
28,-1320.3740000000005,200,0.97535,467,8.0,270.0,1,178
29,-1466.5300000000009,200,0.9745,475,10.0,305.0,3,180
30,-1584.2499999999998,200,0.97365,477,6.0,319.0,1,173
31,-1766.3879999999995,200,0.9728,481,0.0,342.0,0,189
32,-1458.0720000000003,200,0.97195,490,0.0,280.0,0,175
33,-1847.2959999999991,200,0.9711,494,0.0,358.0,0,180
34,-1579.4499999999994,200,0.97025,501,0.0,305.0,0,179
35,-1585.8799999999999,200,0.9694,504,3.0,313.0,1,183
36,-782.9499999999998,200,0.96855,514,29.0,209.0,4,169
37,-1664.718,200,0.9677,516,22.0,373.0,5,176
38,-1896.6279999999988,200,0.96685,518,0.0,368.0,0,176
39,-1276.0180000000003,200,0.966,530,8.0,262.0,5,180
40,-1560.0740000000003,200,0.96515,531,11.0,325.0,2,183
41,-1595.2979999999998,200,0.9643,532,19.0,350.0,5,179
42,-1728.720000000001,200,0.96345,540,2.0,339.0,1,169
43,-1730.9140000000004,200,0.9626,549,9.0,354.0,2,176
44,-1690.8619999999999,200,0.96175,554,15.0,360.0,3,179
45,-1552.8759999999993,200,0.9609,560,22.0,355.0,7,176
46,-1782.178,200,0.96005,570,0.0,344.0,0,179
47,-1663.9339999999995,200,0.9592,576,1.0,323.0,1,178
48,-1510.4200000000005,200,0.95835,593,1.0,293.0,1,176
49,-1500.9560000000004,200,0.9575,599,0.0,289.0,0,183
50,-1534.776,200,0.95665,602,6.0,309.0,1,180
51,-1101.8680000000002,200,0.9558,607,14.0,241.0,3,176
52,-1884.1659999999995,200,0.95495,607,12.0,391.0,2,184
53,-1735.1180000000002,200,0.9541,608,0.0,335.0,0,173
54,-1891.0480000000007,200,0.95325,611,0.0,367.0,0,171
55,-1246.4719999999993,200,0.9524,616,15.0,272.0,3,179
56,-1411.9920000000004,200,0.95155,616,4.0,281.0,2,174
57,-1892.1080000000004,200,0.9507,618,0.0,366.0,0,176
58,-1579.9740000000004,200,0.94985,622,6.0,319.0,2,172
59,-1532.796,200,0.949,626,0.0,295.0,0,176
60,-1936.7339999999995,200,0.94815,645,0.0,377.0,0,170
61,-1669.3179999999998,200,0.9473,646,5.0,333.0,1,176
62,-1332.8440000000007,200,0.94645,649,0.0,256.0,0,173
63,-1831.9339999999997,200,0.9456,652,0.0,356.0,0,174
64,-1391.6259999999995,200,0.94475,653,7.0,282.0,3,176
65,-1701.1740000000011,200,0.9439,659,11.0,355.0,2,175
66,-1358.5620000000004,200,0.9430499999999999,661,27.0,323.0,5,174
67,-1334.0720000000003,200,0.9422,669,18.0,296.0,3,177
68,-1852.4839999999995,200,0.94135,674,0.0,359.0,0,175
69,-1289.0060000000005,200,0.9405,680,7.0,263.0,1,169
70,-1393.0760000000002,200,0.93965,690,23.0,319.0,5,174
71,-1818.1119999999996,200,0.9388,698,0.0,353.0,0,170
72,-1190.1079999999997,200,0.9379500000000001,710,18.0,266.0,3,180
73,-1441.4220000000003,200,0.9371,710,3.0,284.0,1,172
74,-1322.4119999999998,200,0.93625,715,0.0,254.0,0,180
75,-1681.2759999999996,200,0.9354,724,0.0,326.0,0,184
76,-1286.8059999999998,200,0.93455,727,11.0,269.0,2,175
